#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_xmf+is_geor,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_mni+is_mtei,#item+rem+i_mnw+is_mymr,#item+rem+i_nqo+is_nkoo,#item+rem+i_sat+is_olck,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zyyy,#item+rem+i_zho+is_zyyy,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zyyy,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zyyy,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zyyy,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_ady+is_cyrl,#item+rem+i_ary+is_arab,#item+rem+i_awa+is_deva,#item+rem+i_ban+is_latn,#item+rem+i_ast+is_latn,#item+rem+i_bcl+is_latn,#item+rem+i_bho+is_deva,#item+rem+i_bpy+is_beng,#item+rem+i_bxr+is_cyrl,#item+rem+i_cdo+is_zyyy,#item+rem+i_ckb+is_arab,#item+rem+i_diq+is_latn,#item+rem+i_dsb+is_latn,#item+rem+i_dty+is_deva,#item+rem+i_ext+is_latn,#item+rem+i_gcr+is_latn,#item+rem+i_gom+is_zyyy,#item+rem+i_frr+is_latn,#item+rem+i_hak+is_zyyy,#item+rem+i_hif+is_zyyy,#item+rem+i_hsb+is_latn,#item+rem+i_hyw+is_armn,#item+rem+i_ilo+is_latn,#item+rem+i_inh+is_cyrl,#item+rem+i_kaa+is_latn,#item+rem+i_kbd+is_cyrl,#item+rem+i_kbp+is_latn,#item+rem+i_mai+is_deva,#item+rem+i_mhr+is_cyrl,#item+rem+i_mwl+is_latn,#item+rem+i_mzn+is_arab,#item+rem+i_nah+is_latn,#item+rem+i_nan+is_latn,#item+rem+i_new+is_deva,#item+rem+i_pam+is_latn,#item+rem+i_pfl+is_latn,#item+rem+i_pnb+is_arab,#item+rem+i_rue+is_cyrl,#item+rem+i_rup+is_latn,#item+rem+i_sah+is_cyrl,#item+rem+i_sgs+is_latn,#item+rem+i_shi+is_zyyy,#item+rem+i_shn+is_mymr,#item+rem+i_smn+is_latn,#item+rem+i_stq+is_latn,#item+rem+i_szl+is_latn,#item+rem+i_tcy+is_zyyy,#item+rem+i_udm+is_cyrl,#item+rem+i_vep+is_latn,#item+rem+i_vro+is_latn,#item+rem+i_yue+is_zyyy,#item+rem+i_crh+is_latn,#item+rem+i_crh+is_cyrl,#item+rem+i_lad+is_zyyy,#item+rem+i_lez+is_cyrl,#item+rem+i_swa+is_latn,#item+rem+i_zha+is_zyyy,#item+rem+i_yor+is_latn,#item+rem+i_yid+is_hebr,#item+rem+i_xho+is_latn,#item+rem+i_uzb+is_latn,#item+rem+i_uig+is_zyyy,#item+rem+i_uig+is_arab,#item+rem+i_uig+is_latn,#item+rem+i_tat+is_zyyy,#item+rem+i_tat+is_cyrl,#item+rem+i_tat+is_latn,#item+rem+i_tso+is_latn,#item+rem+i_tgl+is_latn,#item+rem+i_tuk+is_latn,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_jbo+is_latn,#item+rem+i_nov+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:45:1:63:372,63_372,,,,Q11282482,,//Red Cross and Red Crescent of Ireland//,,,Q11282482,,,,,,,,,,,,,,,,,,,,,,,Irish Red Cross,Croix-Rouge irlandaise,,,Cruz Roja Irlandesa,,Crois Dhearg na hÉireann,,,,,,,,,,,,,Irlands røde kors,,,アイルランド赤十字社,,,,,,,,,,,,,,,,,,,الصليب الاحمر الايرلندى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:376,63_376,,,,Q577902,,//Red Cross and Red Crescent of Israel//,,,Q577902,نجمة داوود الحمراء,,,Маген Давид Адом,,,,,,,מגן דוד אדום,,,,,,,,,,以色列红大卫盾会,Magen David Adom,Magen David Adom,Israël - Magen David Adom d'Israël,Magen David Adom,Magen David Adom,Maguén David Adom,Magen David Adom,,Magen David Adom,,,,Magen David Adom,,,Maguen David Adom,,,,,Magen David Adom,Magen David Adom,,マーゲン・ダビド公社,,,Magen David Adom,ستاره داوود سرخ,,,,,Magen David Adom,Magen David Adom,,,,Kızılkalkan,,,,,نجمة داوود الحمراء,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Црвена Давидова звезда,,,,,Crvena Davidova zvijezda,,,,قیزیل قالخان,Magen David Adom,,,,,,,Маген Давід Адом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magen David Adom,,,,,מגן דוד אדום,,,,,,,,,,Magen David Adom,,,,,,,,,,
1603:45:1:63:380,63_380,,,,Q913903,,//Red Cross and Red Crescent of Italy//,,,Q913903,الصليب الأحمر الإيطالي,,,,,,,,,,,,,,,,,,,,意大利红十字会,,Italian Red Cross,Croix-Rouge italienne,Italian Red Cross,Italienisches Rotes Kreuz,Cruz Roja Italiana,Croce Rossa Italiana,,,,,,,,,Creu Roja Italiana,Червоний Хрест Італії,,,,,,,イタリア赤十字社,,,,,Olasz Vöröskereszt,,,,,Itala Ruĝa Kruco,,,,,,,,,الصليب الاحمر الايطالى,,,,,,義大利紅十字會,,,,,,,,,,Croce Rossa Italiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:384,63_384,,,,,,//Red Cross and Red Crescent of Côte d'Ivoire//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:388,63_388,,,,Q99543779,,//Red Cross and Red Crescent of Jamaica//,,,Q99543779,,,,,,,,,,,,,,,,,,,,,,,Jamaica Red Cross,Croix-Rouge de la Jamaïque,,,Cruz Roja de Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الصليب الاحمر الجامايكى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:392,63_392,,,,Q4538440,,//Red Cross and Red Crescent of Japan//,,,Q4538440,الصليب الأحمر الياباني,,,Японский Красный Крест,,,,,일본 적십자사,,,,,,,,,,,,日本赤十字社,,Japanese Red Cross Society,Société de la Croix-Rouge du Japon,,Japanisches Rotes Kreuz,Sociedad de la Cruz Roja Japonesa,Società della Croce Rossa giapponese,,,,,Japoński Czerwony Krzyż,,,,,,,,,,,,日本赤十字社,,,,انجمن صلیب سرخ ژاپن,Japán Vöröskereszt,,Y Groes Goch i Siapan,,,Japania Ruĝa Kruco,Persatuan Palang Merah Jepun,,,Japon Kızılhaçı,,,,,,,,,,,日本紅十字會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:398,63_398,,,,,,//Red Cross and Red Crescent of Kazakhstan//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:400,63_400,,,,,,//Red Cross and Red Crescent of Jordan//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:404,63_404,,,,Q3698016,,//Red Cross and Red Crescent of Kenya//,,,Q3698016,الصليب الأحمر الكيني,,,,,,,,,,,,,,,,,,,,肯亞紅十字會,,Kenya Red Cross Society,Croix-Rouge du Kenya,Kenya Red Cross Society,,Cruz Roja de Kenya,Croce Rossa del Kenya,,,,,,,,,,,,,,,,,ケニア赤十字社,,,,,,,,,,Kenja Ruĝa Kruco,Persatuan Palang Merah Kenya,,,,,,,,الصليب الاحمر الكينى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:408,63_408,,,,Q3698023,,//Red Cross and Red Crescent of Democratic People's Republic of Korea//,,,Q3698023,,,,,,,,,조선민주주의인민공화국적십자회,,,,,,,,,,,,朝鲜民主主义人民共和国红十字会,,Red Cross Society of the Democratic People's Republic of Korea,Société de la Croix-Rouge de la République populaire démocratique de Corée,,,Sociedad de la Cruz Roja de la República Popular Democrática de Corea,Croce Rossa della Corea del Nord,,,,,,,,,,,,,,,,,朝鮮赤十字会,,,Perhimpunan Palang Merah Republik Rakyat Demokratik Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:410,63_410,,,,Q7314493,,//Red Cross and Red Crescent of Republic of Korea//,,,Q7314493,جمعية الصليب الأحمر الكورية الجنوبية,,,,,,,,대한적십자사,,,,,,,,,,,,大韓紅十字會,,Republic of Korea National Red Cross,Croix-Rouge de la République de Corée,,Koreaisches Rotes Kreuz,Cruz Roja de la República de Corea,Società Nazionale della Croce Rossa della Repubblica di Corea,,,,,,,,,,,,,,,,,大韓赤十字社,,,Palang Merah Korea,,,,,,,Korea Ruĝa Kruco,,,,,,,,,جمعية الصليب الاحمر الكوريه الجنوبيه,,,,,,大韓紅十字會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:414,63_414,,,,Q6448872,,//Red Cross and Red Crescent of Kuwait//,,,Q6448872,الهلال الأحمر الكويتي,,,,,,,,,,,,,,,,,,,,,,Kuwait Red Crescent Society,Croissant-Rouge du Koweït,,,Media Luna Roja de Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuvajta Ruĝa Krescento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:417,63_417,,,,,,//Red Cross and Red Crescent of Kyrgyzstan//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:418,63_418,,,,Q6487795,,//Red Cross and Red Crescent of Lao People's Democratic Republic//,,,Q6487795,,,,,,,,,,,,,,,,,,,,,,,Lao Red Cross Society,Croix-Rouge lao,,,Cruz Roja de Lao,,,,,,,,,Hội Chữ thập đỏ Lào,,,,,,,,,,,,,,,,,,,,,,,,,,,,جمعية لاو للصليب الاحمر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:422,63_422,,,,Q12189470,,//Red Cross and Red Crescent of Lebanon//,,,Q12189470,الصليب الأحمر اللبناني,,লেবাননের রেড ক্রস,,,,,,,,הצלב האדום הלבנוני,,,,,,,,,,,Cruz Vermelha Libanesa,Lebanese Red Cross,Croix-Rouge libanaise,,,Cruz Roja Libanesa,Croce Rossa libanese,,,,,,,,,,,,,,,,,,,,Palang Merah Lebanon,,,,,,,,,,,,,,,,الصليب الاحمر اللبنانى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palang Abang Libanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:426,63_426,,,,,,//Red Cross and Red Crescent of Lesotho//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:428,63_428,,,,Q4254881,,//Red Cross and Red Crescent of Latvia//,,,Q4254881,,,,Латвийский Красный Крест,,,,,,,,,,,,,,,,,,,Latvian Red Cross,Croix-Rouge lettone,,Lettisches Rotes Kreuz,Cruz Roja Letona,,,,,,,Latvian Punainen Risti,,,,,,,,,,,ラトヴィア赤十字,,,,,,,,,,Latva Ruĝa Kruco,,,,,,,,,الصليب الاحمر اللاتفى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latvijas Sarkanais Krusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:430,63_430,,,,,,//Red Cross and Red Crescent of Liberia//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:434,63_434,,,,,,//Red Cross and Red Crescent of Libya//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:438,63_438,,,,,,//Red Cross and Red Crescent of Liechtenstein//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:440,63_440,,,,Q6648412,,//Red Cross and Red Crescent of Lithuania//,,,Q6648412,,,,,,,,,,,,,,,,,,,,,立陶宛紅十字會,,Lithuanian Red Cross Society,Croix-Rouge lituanienne,,Litauisches Rotes Kreuz,Cruz Roja Lituana,,,,,,,,,,,,,,,,,,,,,,,,,,,,Litova Ruĝa Kruco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lietuvos Raudonasis kryžius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:442,63_442,,,,Q13102234,,//Red Cross and Red Crescent of Luxembourg//,,,Q13102234,,,,,,,,,,,,,,,,,,,,,,,Luxembourg Red Cross,Croix-Rouge luxembourgeoise,,Luxemburger Rotes Kreuz,Cruz Roja de Luxemburgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الصليب الاحمر فى لوكسمبورج,,Croix-Rouge luxembourgeoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:446,63_446,,,,Q20063812,,"//Red Cross and Red Crescent of China, Macao Special Administrative Region//",,,Q20063812,,,,,,,,,,,,,,,,,,,,,澳門紅十字會,Cruz Vermelha de Macau,Macau Red Cross,,,,,,,,,,,,,,,,,,,,,,マカオ紅十字会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:450,63_450,,,,,,//Red Cross and Red Crescent of Madagascar//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:454,63_454,,,,,,//Red Cross and Red Crescent of Malawi//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:458,63_458,,,,Q6742015,,//Red Cross and Red Crescent of Malaysia//,,,Q6742015,جمعية الهلال الأحمر الماليزي,,,,,,,,,,,,,,,,,,,,馬來西亞紅十字會,,Malaysian Red Crescent Society,Croissant-Rouge de Malaisie,,,Media Luna Roja de Malasia,,,,,,,,,,,,,,,,,,,,,Persatuan Bulan Sabit Merah Malaysia,,,,,,,Malajzia Ruĝa Krescento,Persatuan Bulan Sabit Merah Malaysia,,,,,,,,جمعية الهلال الاحمر الماليزى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:462,63_462,,,,Q6742837,,//Red Cross and Red Crescent of Maldives//,,,Q6742837,الهلال الأحمر المالديفي,,,,,,,,,,,,,,,,,,,,,,Maldivian Red Crescent,Croissant-Rouge des Maldives,,,Media Luna Roja de Maldivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الهلال الاحمر المالديفى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:466,63_466,,,,Q963785,,//Red Cross and Red Crescent of Mali//,,,Q963785,الصليب الأحمر المالي,,,,,,,,,,,,,,,,,,,,,,Mali Red Cross,Croix-Rouge malienne,,,Cruz Roja Maliense,Croce Rossa del Mali,,,,,,,,,,,,,,,,,マリ赤十字,,,,صلیب سرخ مالی,,,,,,,,,,,,,,,الصليب الاحمر المالى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:470,63_470,,,,,,//Red Cross and Red Crescent of Malta//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:474,63_474,,,,,,//Red Cross and Red Crescent of Martinique//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:478,63_478,,,,,,//Red Cross and Red Crescent of Mauritania//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:480,63_480,,,,,,//Red Cross and Red Crescent of Mauritius//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:63:484,63_484,,,,Q5792387,,//Red Cross and Red Crescent of Mexico//,,,Q5792387,,,,,,,,,,,,,,,,,,,,,墨西哥红十字会,,Mexican Red Cross,Croix-Rouge mexicaine,,Mexikanisches Rotes Kreuz,Cruz Roja Mexicana,,,,,,,,,,,,,,,,,,メキシコ赤十字社,,,,,,,,,,Meksika Ruĝa Kruco,,,,,,,,,الصليب الاحمر المكسيكى,,,,,,墨西哥紅十字會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
